date,longitude,latitude,city,state,dnr_zero,population,abbr
2010,-157.858093,21.315603,Honolulu,Hawaii,Did Not Report,867258,HI
2010,-91.18699,30.443342,Baton Rouge,Louisiana,Did Not Report,NA,LA
2010,-86.80249,33.52066,Birmingham,Alabama,Did Not Report,NA,AL
2010,-88.15354,41.75084,Naperville,Illinois,Did Not Report,NA,IL
2010,-106.763654,32.31994,Las Cruces,New Mexico,Did Not Report,102227,NM
2011,-157.858093,21.315603,Honolulu,Hawaii,Did Not Report,867258,HI
2011,-91.18699,30.443342,Baton Rouge,Louisiana,Did Not Report,NA,LA
2011,-86.80249,33.52066,Birmingham,Alabama,Did Not Report,NA,AL
2011,-88.15354,41.75084,Naperville,Illinois,Did Not Report,NA,IL
2011,-122.435337,45.506276,Gresham,Oregon,Did Not Report,110901,OR
2011,-106.763654,32.31994,Las Cruces,New Mexico,Did Not Report,102227,NM
2012,-157.858093,21.315603,Honolulu,Hawaii,Did Not Report,867258,HI
2012,-91.18699,30.443342,Baton Rouge,Louisiana,Did Not Report,NA,LA
2012,-86.80249,33.52066,Birmingham,Alabama,Did Not Report,NA,AL
2012,-86.300077,32.380153,Montgomery,Alabama,Did Not Report,NA,AL
2012,-90.180487,32.298694,Jackson,Mississippi,Did Not Report,170508,MS
2012,-122.435337,45.506276,Gresham,Oregon,Did Not Report,110901,OR
2012,-106.763654,32.31994,Las Cruces,New Mexico,Did Not Report,102227,NM
2012,-122.989827,45.522894,Hillsboro,Oregon,Did Not Report,101206,OR
2013,-157.858093,21.315603,Honolulu,Hawaii,Did Not Report,867258,HI
2013,-91.18699,30.443342,Baton Rouge,Louisiana,Did Not Report,NA,LA
2013,-86.80249,33.52066,Birmingham,Alabama,Did Not Report,NA,AL
2013,-86.300077,32.380153,Montgomery,Alabama,Did Not Report,NA,AL
2013,-83.36,33.95,Athens-Clarke County,Georgia,Did Not Report,NA,GA
2013,-122.435337,45.506276,Gresham,Oregon,Did Not Report,110901,OR
2013,-106.763654,32.31994,Las Cruces,New Mexico,Did Not Report,102227,NM
2013,-122.989827,45.522894,Hillsboro,Oregon,Did Not Report,101206,OR
2014,-157.858093,21.315603,Honolulu,Hawaii,Did Not Report,867258,HI
2014,-122.676207,45.523452,Portland,Oregon,Did Not Report,628192,OR
2014,-91.18699,30.443342,Baton Rouge,Louisiana,Did Not Report,NA,LA
2014,-86.80249,33.52066,Birmingham,Alabama,Did Not Report,NA,AL
2014,-86.300077,32.380153,Montgomery,Alabama,Did Not Report,NA,AL
2014,-88.15354,41.75084,Naperville,Illinois,Did Not Report,NA,IL
2014,-72.674017,41.763493,Hartford,Connecticut,Did Not Report,NA,CT
2014,-83.36,33.95,Athens-Clarke County,Georgia,Did Not Report,NA,GA
2014,-86.59,34.73,Huntsville,Alabama,Did Not Report,190106,AL
2014,-122.435337,45.506276,Gresham,Oregon,Did Not Report,110901,OR
2014,-106.763654,32.31994,Las Cruces,New Mexico,Did Not Report,102227,NM
2014,-122.989827,45.522894,Hillsboro,Oregon,Did Not Report,101206,OR
2015,-157.858093,21.315603,Honolulu,Hawaii,Did Not Report,867258,HI
2015,-81.656217,30.331474,Jacksonville,Florida,Did Not Report,867258,FL
2015,-122.676207,45.523452,Portland,Oregon,Did Not Report,628192,OR
2015,-80.197728,25.774813,Miami,Florida,Did Not Report,437969,FL
2015,-82.459269,27.946532,Tampa,Florida,Did Not Report,364383,FL
2015,-81.377389,28.538234,Orlando,Florida,Did Not Report,268438,FL
2015,-82.638757,27.771192,St. Petersburg,Florida,Did Not Report,255821,FL
2015,-80.281499,25.826984,Hialeah,Florida,Did Not Report,238132,FL
2015,-86.59,34.73,Huntsville,Alabama,Did Not Report,190106,AL
2015,-80.143557,26.12367,Fort Lauderdale,Florida,Did Not Report,178598,FL
2015,-81.95694,26.629823,Cape Coral,Florida,Did Not Report,173844,FL
2015,-90.180487,32.298694,Jackson,Mississippi,Did Not Report,170508,MS
2015,-80.160077,26.010411,Hollywood,Florida,Did Not Report,149822,FL
2015,-80.220517,25.982051,Miramar,Florida,Did Not Report,138330,FL
2015,-122.435337,45.506276,Gresham,Oregon,Did Not Report,110901,OR
2015,-80.125218,26.231453,Pompano Beach,Florida,Did Not Report,107656,FL
2015,-81.947858,28.044192,Lakeland,Florida,Did Not Report,103498,FL
2015,-106.763654,32.31994,Las Cruces,New Mexico,Did Not Report,102227,NM
2015,-122.989827,45.522894,Hillsboro,Oregon,Did Not Report,101206,OR
2015,-80.252116,26.076478,Davie,Florida,Did Not Report,100612,FL
2007,-117.874457,33.74958,Santa Ana,California,Reported 0 in at least 1 quarter,340223,CA
2004,-112.240898,33.577312,Peoria,Arizona,Reported 0 in at least 1 quarter,NA,AZ
2007,-114.981509,36.031234,Henderson,Nevada,Reported 0 in at least 1 quarter,251270,NV
2004,-112.366757,33.623721,Surprise,Arizona,Reported 0 in at least 1 quarter,NA,AZ
2004,-119.694767,36.823951,Clovis,California,Reported 0 in at least 1 quarter,NA,CA
2004,-122.472788,37.691093,Daly City,California,Reported 0 in at least 1 quarter,NA,CA
2004,-117.43576,34.102052,Fontana,California,Reported 0 in at least 1 quarter,NA,CA
2004,-122.085537,37.671341,Hayward,California,Reported 0 in at least 1 quarter,NA,CA
2004,-118.35698,33.96178,Inglewood,California,Reported 0 in at least 1 quarter,NA,CA
2004,-117.211787,33.558431,Murrieta,California,Reported 0 in at least 1 quarter,NA,CA
2004,-117.648097,34.06457,Ontario,California,Reported 0 in at least 1 quarter,NA,CA
2004,-117.850708,33.787872,Orange,California,Reported 0 in at least 1 quarter,NA,CA
2004,-117.57384,34.102613,Rancho Cucamonga,California,Reported 0 in at least 1 quarter,NA,CA
2004,-120.43453,34.953132,Santa Maria,California,Reported 0 in at least 1 quarter,NA,CA
2004,-98.500987,33.908302,Wichita Falls,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-97.149498,31.571824,Waco,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-96.602081,32.783391,Mesquite,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-98.229361,26.207424,McAllen,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-97.007199,32.747701,Grand Prairie,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-97.499241,25.90209,Brownsville,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-94.101349,30.086154,Beaumont,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-86.394349,35.844393,Murfreesboro,Tennessee,Reported 0 in at least 1 quarter,NA,TN
2004,-96.731278,43.545774,Sioux Falls,South Dakota,Reported 0 in at least 1 quarter,NA,SD
2004,-71.41199,41.82387,Providence,Rhode Island,Reported 0 in at least 1 quarter,NA,RI
2004,-75.470257,40.602602,Allentown,Pennsylvania,Reported 0 in at least 1 quarter,NA,PA
2004,-122.435337,45.506276,Gresham,Oregon,Reported 0 in at least 1 quarter,NA,OR
2004,-123.088537,44.049921,Eugene,Oregon,Reported 0 in at least 1 quarter,NA,OR
2004,-97.521069,35.472031,Oklahoma City,Oklahoma,Reported 0 in at least 1 quarter,NA,OK
2004,-80.241087,36.099623,Winston-Salem,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2004,-77.945998,34.234971,Wilmington,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2004,-78.781158,35.78975,Cary,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2004,-76.147379,43.050282,Syracuse,New York,Reported 0 in at least 1 quarter,NA,NY
2004,-78.782759,43.018882,Amherst Town,New York,Reported 0 in at least 1 quarter,NA,NY
2004,-114.981509,36.031234,Henderson,Nevada,Reported 0 in at least 1 quarter,NA,NV
2004,-83.137019,42.683424,Rochester,Michigan,Reported 0 in at least 1 quarter,NA,MI
2004,-105.076261,40.581472,Fort Collins,Colorado,Reported 0 in at least 1 quarter,NA,CO
2004,-104.61237,38.26386,Pueblo,Colorado,Reported 0 in at least 1 quarter,NA,CO
2004,-104.985408,39.869481,Thornton,Colorado,Reported 0 in at least 1 quarter,NA,CO
2004,-73.542231,41.051822,Stamford,Connecticut,Reported 0 in at least 1 quarter,NA,CT
2004,-73.04617,41.554072,Waterbury,Connecticut,Reported 0 in at least 1 quarter,NA,CT
2004,-80.253149,26.272492,Coral Springs,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-81.391859,30.288991,Jacksonville Beach,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-80.197728,25.774813,Miami,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-80.223238,25.927493,Miami Gardens,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-80.194758,25.983243,Pembroke Park,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-80.125218,26.231453,Pompano Beach,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-84.280651,30.439773,Tallahassee,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-80.053188,26.714394,West Palm Beach,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-86.25405,41.679073,South Bend,Indiana,Reported 0 in at least 1 quarter,NA,IN
2004,-91.673759,41.976342,Cedar Rapids,Iowa,Reported 0 in at least 1 quarter,NA,IA
2004,-93.747268,32.51461,Shreveport,Louisiana,Reported 0 in at least 1 quarter,NA,LA
2004,-83.782599,43.002593,Flint Township,Michigan,Reported 0 in at least 1 quarter,NA,MI
2004,-83.01356,42.593402,Sterling Heights,Michigan,Reported 0 in at least 1 quarter,NA,MI
2004,-78.896441,35.995424,Durham,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2004,-79.931597,32.781151,Charleston,South Carolina,Reported 0 in at least 1 quarter,NA,SC
2004,-81.045367,33.998822,Columbia,South Carolina,Reported 0 in at least 1 quarter,NA,SC
2004,-99.741421,32.449173,Abilene,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-96.9555,32.813511,Irving,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-99.502231,27.530922,Laredo,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-102.375169,31.849131,Odessa,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-95.1957,29.690842,Pasadena,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-122.187847,47.610016,Bellevue,Washington,Reported 0 in at least 1 quarter,NA,WA
2005,-112.240898,33.577312,Peoria,Arizona,Reported 0 in at least 1 quarter,NA,AZ
2005,-112.366757,33.623721,Surprise,Arizona,Reported 0 in at least 1 quarter,NA,AZ
2005,-117.33822,33.165881,Carlsbad,California,Reported 0 in at least 1 quarter,NA,CA
2005,-122.472788,37.691093,Daly City,California,Reported 0 in at least 1 quarter,NA,CA
2005,-117.902367,33.663893,Costa Mesa,California,Reported 0 in at least 1 quarter,NA,CA
2005,-117.43576,34.102052,Fontana,California,Reported 0 in at least 1 quarter,NA,CA
2005,-118.35698,33.96178,Inglewood,California,Reported 0 in at least 1 quarter,NA,CA
2005,-117.211787,33.558431,Murrieta,California,Reported 0 in at least 1 quarter,NA,CA
2005,-117.57384,34.102613,Rancho Cucamonga,California,Reported 0 in at least 1 quarter,NA,CA
2005,-122.34271,37.937814,Richmond,California,Reported 0 in at least 1 quarter,NA,CA
2005,-122.254947,38.100951,Vallejo,California,Reported 0 in at least 1 quarter,NA,CA
2005,-118.34166,33.836664,Torrance,California,Reported 0 in at least 1 quarter,NA,CA
2007,-84.280651,30.439773,Tallahassee,Florida,Reported 0 in at least 1 quarter,159943,FL
2005,-117.323638,34.510612,Victorville,California,Reported 0 in at least 1 quarter,NA,CA
2005,-98.500987,33.908302,Wichita Falls,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-97.149498,31.571824,Waco,Texas,Reported 0 in at least 1 quarter,NA,TX
2007,-97.499241,25.90209,Brownsville,Texas,Reported 0 in at least 1 quarter,177090,TX
2005,-96.602081,32.783391,Mesquite,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-96.615,33.198953,McKinney,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-98.229361,26.207424,McAllen,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-101.845009,33.584514,Lubbock,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-97.007199,32.747701,Grand Prairie,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-96.834638,33.150494,Frisco,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-97.499241,25.90209,Brownsville,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-86.394349,35.844393,Murfreesboro,Tennessee,Reported 0 in at least 1 quarter,NA,TN
2005,-75.470257,40.602602,Allentown,Pennsylvania,Reported 0 in at least 1 quarter,NA,PA
2005,-122.435337,45.506276,Gresham,Oregon,Reported 0 in at least 1 quarter,NA,OR
2005,-123.088537,44.049921,Eugene,Oregon,Reported 0 in at least 1 quarter,NA,OR
2005,-80.241087,36.099623,Winston-Salem,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2005,-77.945998,34.234971,Wilmington,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2005,-80.005201,35.955363,High Point,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2005,-78.781158,35.78975,Cary,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2005,-76.147379,43.050282,Syracuse,New York,Reported 0 in at least 1 quarter,NA,NY
2005,-78.782759,43.018882,Amherst Town,New York,Reported 0 in at least 1 quarter,NA,NY
2005,-114.981509,36.031234,Henderson,Nevada,Reported 0 in at least 1 quarter,NA,NV
2005,-92.334148,38.952213,Columbia,Missouri,Reported 0 in at least 1 quarter,NA,MO
2005,-83.137019,42.683424,Rochester,Michigan,Reported 0 in at least 1 quarter,NA,MI
2005,-104.61237,38.26386,Pueblo,Colorado,Reported 0 in at least 1 quarter,NA,CO
2005,-104.985408,39.869481,Thornton,Colorado,Reported 0 in at least 1 quarter,NA,CO
2005,-72.924619,41.307622,New Haven,Connecticut,Reported 0 in at least 1 quarter,NA,CT
2005,-80.253149,26.272492,Coral Springs,Florida,Reported 0 in at least 1 quarter,NA,FL
2005,-80.281499,25.826984,Hialeah,Florida,Reported 0 in at least 1 quarter,NA,FL
2005,-81.391859,30.288991,Jacksonville Beach,Florida,Reported 0 in at least 1 quarter,NA,FL
2005,-80.197728,25.774813,Miami,Florida,Reported 0 in at least 1 quarter,NA,FL
2005,-80.223238,25.927493,Miami Gardens,Florida,Reported 0 in at least 1 quarter,NA,FL
2005,-80.194758,25.983243,Pembroke Park,Florida,Reported 0 in at least 1 quarter,NA,FL
2005,-84.280651,30.439773,Tallahassee,Florida,Reported 0 in at least 1 quarter,NA,FL
2005,-81.1,32.08,Savannah-Chatham Metropolitan,Georgia,Reported 0 in at least 1 quarter,NA,GA
2005,-87.564051,37.977083,Evansville,Indiana,Reported 0 in at least 1 quarter,NA,IN
2005,-86.25405,41.679073,South Bend,Indiana,Reported 0 in at least 1 quarter,NA,IN
2005,-91.673759,41.976342,Cedar Rapids,Iowa,Reported 0 in at least 1 quarter,NA,IA
2005,-93.747268,32.51461,Shreveport,Louisiana,Reported 0 in at least 1 quarter,NA,LA
2005,-83.782599,43.002593,Flint Township,Michigan,Reported 0 in at least 1 quarter,NA,MI
2005,-83.01356,42.593402,Sterling Heights,Michigan,Reported 0 in at least 1 quarter,NA,MI
2005,-79.931597,32.781151,Charleston,South Carolina,Reported 0 in at least 1 quarter,NA,SC
2005,-81.045367,33.998822,Columbia,South Carolina,Reported 0 in at least 1 quarter,NA,SC
2005,-96.9555,32.813511,Irving,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-99.502231,27.530922,Laredo,Texas,Reported 0 in at least 1 quarter,NA,TX
2007,-117.57384,34.102613,Rancho Cucamonga,California,Reported 0 in at least 1 quarter,177683,CA
2005,-102.375169,31.849131,Odessa,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-95.1957,29.690842,Pasadena,Texas,Reported 0 in at least 1 quarter,NA,TX
2005,-111.938757,40.607404,West Jordan,Utah,Reported 0 in at least 1 quarter,NA,UT
2006,-80.223238,25.927493,Miami Gardens,Florida,Reported 0 in at least 1 quarter,101115,FL
2006,-88.010008,44.513003,Green Bay,Wisconsin,Reported 0 in at least 1 quarter,101574,WI
2006,-104.61237,38.26386,Pueblo,Colorado,Reported 0 in at least 1 quarter,105452,CO
2006,-86.25405,41.679073,South Bend,Indiana,Reported 0 in at least 1 quarter,105959,IN
2006,-75.470257,40.602602,Allentown,Pennsylvania,Reported 0 in at least 1 quarter,107087,PA
2006,-73.04617,41.554072,Waterbury,Connecticut,Reported 0 in at least 1 quarter,107733,CT
2006,-79.931597,32.781151,Charleston,South Carolina,Reported 0 in at least 1 quarter,108371,SC
2006,-82.799747,27.965582,Clearwater,Florida,Reported 0 in at least 1 quarter,110520,FL
2006,-118.12794,33.940414,Downey,California,Reported 0 in at least 1 quarter,110706,CA
2006,-121.36514,38.409023,Elk Grove,California,Reported 0 in at least 1 quarter,113350,CA
2006,-94.101349,30.086154,Beaumont,Texas,Reported 0 in at least 1 quarter,114967,TX
2006,-118.35698,33.96178,Inglewood,California,Reported 0 in at least 1 quarter,115498,CA
2006,-99.741421,32.449173,Abilene,Texas,Reported 0 in at least 1 quarter,118009,TX
2006,-122.254947,38.100951,Vallejo,California,Reported 0 in at least 1 quarter,118541,CA
2006,-81.045367,33.998822,Columbia,South Carolina,Reported 0 in at least 1 quarter,118909,SC
2006,-97.149498,31.571824,Waco,Texas,Reported 0 in at least 1 quarter,123879,TX
2006,-72.674017,41.763493,Hartford,Connecticut,Reported 0 in at least 1 quarter,124203,CT
2006,-72.924619,41.307622,New Haven,Connecticut,Reported 0 in at least 1 quarter,124596,CT
2006,-118.848088,34.175701,Thousand Oaks,California,Reported 0 in at least 1 quarter,125479,CA
2006,-74.21144,40.663811,Elizabeth,New Jersey,Reported 0 in at least 1 quarter,125905,NJ
2006,-98.229361,26.207424,McAllen,Texas,Reported 0 in at least 1 quarter,127125,TX
2006,-83.01356,42.593402,Sterling Heights,Michigan,Reported 0 in at least 1 quarter,127715,MI
2006,-122.037999,37.371724,Sunnyvale,California,Reported 0 in at least 1 quarter,130063,CA
2006,-78.877271,35.05534,Fayetteville,North Carolina,Reported 0 in at least 1 quarter,132521,NC
2006,-96.602081,32.783391,Mesquite,Texas,Reported 0 in at least 1 quarter,133583,TX
2006,-80.36331,27.27418,Port St. Lucie,Florida,Reported 0 in at least 1 quarter,133913,FL
2006,-122.085537,37.671341,Hayward,California,Reported 0 in at least 1 quarter,141556,CA
2006,-118.34166,33.836664,Torrance,California,Reported 0 in at least 1 quarter,143666,CA
2006,-123.088537,44.049921,Eugene,Oregon,Reported 0 in at least 1 quarter,146885,OR
2006,-121.65482,36.670884,Salinas,California,Reported 0 in at least 1 quarter,147750,CA
2006,-95.1957,29.690842,Pasadena,Texas,Reported 0 in at least 1 quarter,147929,TX
2006,-97.007199,32.747701,Grand Prairie,Texas,Reported 0 in at least 1 quarter,148427,TX
2006,-74.171637,40.916614,Paterson,New Jersey,Reported 0 in at least 1 quarter,149957,NJ
2006,-117.57384,34.102613,Rancho Cucamonga,California,Reported 0 in at least 1 quarter,170878,CA
2006,-97.499241,25.90209,Brownsville,Texas,Reported 0 in at least 1 quarter,172239,TX
2006,-71.41199,41.82387,Providence,Rhode Island,Reported 0 in at least 1 quarter,175452,RI
2006,-71.802188,42.263412,Worcester,Massachusetts,Reported 0 in at least 1 quarter,176956,MA
2006,-119.180119,34.200343,Oxnard,California,Reported 0 in at least 1 quarter,185282,CA
2007,-101.833891,35.207251,Amarillo,Texas,Reported 0 in at least 1 quarter,187234,TX
2006,-92.274851,34.748704,Little Rock,Arkansas,Reported 0 in at least 1 quarter,186670,AR
2006,-101.833891,35.207251,Amarillo,Texas,Reported 0 in at least 1 quarter,188208,TX
2006,-93.747268,32.51461,Shreveport,Louisiana,Reported 0 in at least 1 quarter,188505,LA
2006,-80.241087,36.099623,Winston-Salem,North Carolina,Reported 0 in at least 1 quarter,197621,NC
2006,-96.9555,32.813511,Irving,Texas,Reported 0 in at least 1 quarter,199137,TX
2006,-81.1,32.08,Savannah-Chatham Metropolitan,Georgia,Reported 0 in at least 1 quarter,213488,GA
2006,-99.502231,27.530922,Laredo,Texas,Reported 0 in at least 1 quarter,214670,TX
2006,-101.845009,33.584514,Lubbock,Texas,Reported 0 in at least 1 quarter,215681,TX
2006,-111.920689,33.494003,Scottsdale,Arizona,Reported 0 in at least 1 quarter,234652,AZ
2006,-114.981509,36.031234,Henderson,Nevada,Reported 0 in at least 1 quarter,239906,NV
2006,-80.197728,25.774813,Miami,Florida,Reported 0 in at least 1 quarter,392934,FL
2006,-97.521069,35.472031,Oklahoma City,Oklahoma,Reported 0 in at least 1 quarter,536016,OK
2007,-88.010008,44.513003,Green Bay,Wisconsin,Reported 0 in at least 1 quarter,100010,WI
2007,-96.732968,32.960741,Richardson,Texas,Reported 0 in at least 1 quarter,100933,TX
2007,-80.053188,26.714394,West Palm Beach,Florida,Reported 0 in at least 1 quarter,101322,FL
2007,-80.0855,42.129822,Erie,Pennsylvania,Reported 0 in at least 1 quarter,101812,PA
2007,-104.61237,38.26386,Pueblo,Colorado,Reported 0 in at least 1 quarter,103958,CO
2007,-97.72737,31.116891,Killeen,Texas,Reported 0 in at least 1 quarter,104188,TX
2007,-117.323638,34.510612,Victorville,California,Reported 0 in at least 1 quarter,104872,CA
2007,-80.125218,26.231453,Pompano Beach,Florida,Reported 0 in at least 1 quarter,104989,FL
2007,-122.04388,38.249234,Fairfield,California,Reported 0 in at least 1 quarter,106098,CA
2007,-105.048871,39.86347,Westminster,Colorado,Reported 0 in at least 1 quarter,106383,CO
2007,-73.04617,41.554072,Waterbury,Connecticut,Reported 0 in at least 1 quarter,107241,CT
2007,-75.470257,40.602602,Allentown,Pennsylvania,Reported 0 in at least 1 quarter,107397,PA
2007,-82.799747,27.965582,Clearwater,Florida,Reported 0 in at least 1 quarter,107501,FL
2007,-94.101349,30.086154,Beaumont,Texas,Reported 0 in at least 1 quarter,109345,TX
2007,-79.931597,32.781151,Charleston,South Carolina,Reported 0 in at least 1 quarter,109382,SC
2007,-121.95509,37.35579,Santa Clara,California,Reported 0 in at least 1 quarter,109420,CA
2007,-117.902367,33.663893,Costa Mesa,California,Reported 0 in at least 1 quarter,109835,CA
2007,-99.741421,32.449173,Abilene,Texas,Reported 0 in at least 1 quarter,114644,TX
2007,-122.254947,38.100951,Vallejo,California,Reported 0 in at least 1 quarter,116763,CA
2007,-96.615,33.198953,McKinney,Texas,Reported 0 in at least 1 quarter,118113,TX
2007,-122.187847,47.610016,Bellevue,Washington,Reported 0 in at least 1 quarter,118984,WA
2007,-81.045367,33.998822,Columbia,South Carolina,Reported 0 in at least 1 quarter,120549,SC
2007,-118.717659,34.289463,Simi Valley,California,Reported 0 in at least 1 quarter,122677,CA
2007,-91.673759,41.976342,Cedar Rapids,Iowa,Reported 0 in at least 1 quarter,124730,IA
2007,-98.229361,26.207424,McAllen,Texas,Reported 0 in at least 1 quarter,129455,TX
2007,-96.602081,32.783391,Mesquite,Texas,Reported 0 in at least 1 quarter,132399,TX
2007,-122.085537,37.671341,Hayward,California,Reported 0 in at least 1 quarter,140603,CA
2007,-95.1957,29.690842,Pasadena,Texas,Reported 0 in at least 1 quarter,145235,TX
2007,-80.160077,26.010411,Hollywood,Florida,Reported 0 in at least 1 quarter,146673,FL
2007,-123.088537,44.049921,Eugene,Oregon,Reported 0 in at least 1 quarter,147458,OR
2007,-74.171637,40.916614,Paterson,New Jersey,Reported 0 in at least 1 quarter,148049,NJ
2007,-80.280108,26.008112,Pembroke Pines,Florida,Reported 0 in at least 1 quarter,151817,FL
2007,-97.007199,32.747701,Grand Prairie,Texas,Reported 0 in at least 1 quarter,157913,TX
2007,-86.59,34.729294,Huntsville,Alabama,Reported 0 in at least 1 quarter,169391,AL
2007,-71.802188,42.263412,Worcester,Massachusetts,Reported 0 in at least 1 quarter,175825,MA
2007,-117.43576,34.102052,Fontana,California,Reported 0 in at least 1 quarter,176490,CA
2007,-96.9555,32.813511,Irving,Texas,Reported 0 in at least 1 quarter,196676,TX
2007,-73.898739,40.932992,Yonkers,New York,Reported 0 in at least 1 quarter,198071,NY
2007,-80.241087,36.099623,Winston-Salem,North Carolina,Reported 0 in at least 1 quarter,198316,NC
2007,-101.845009,33.584514,Lubbock,Texas,Reported 0 in at least 1 quarter,213988,TX
2007,-80.281499,25.826984,Hialeah,Florida,Reported 0 in at least 1 quarter,215853,FL
2007,-99.502231,27.530922,Laredo,Texas,Reported 0 in at least 1 quarter,221253,TX
2007,-81.377389,28.538234,Orlando,Florida,Reported 0 in at least 1 quarter,224417,FL
